record_id,field,original_text,word_count,emotion_positive_amplitude,emotion_neutral_amplitude,emotion_negative_amplitude,reform_positive_amplitude,reform_reactive_amplitude,reform_superficial_amplitude,positive_emotion_intensity,negative_emotion_intensity,active_voice_bonus,future_tense_bonus,context_type,reform_word_count,frame_competition,emotion_frame_strength,reform_frame_strength,frame_entanglement,von_neumann_entropy,semantic_interference,multiple_reality_strength,frame_conflict_strength,semantic_ambiguity,circuit_depth,circuit_gates,qubit_count,quantum_frames_enabled,analysis_version
28,新聞標題,"「高雄診所收千元快速看診引爭議」""Kaohsiung Clinic Charges $1000 for Fast Care""",24,0.0,1.0,0.0,0.33,0.33,0.34,0.0,0.0,0.0,0.0,normal,0,0.9182238168403145,0.29627400000000004,0.15262600000000004,0.009742239437999999,0.9182238168403144,0.00018769531249999998,0.3673458353298758,0.1885158830870629,0.5999134170139072,2,7,6,True,quantum_frames_v1.0
29,新聞標題,"埔里路易莎驅趕罷免志工 引發爭議Puli Louisa Ousts Recall Volunteers, Stirs Debate",22,0.0,0.2425356250363329,0.9701425001453319,0.33,0.33,0.34,0.0,0.8,0.0,0.0,normal,0,0.7495159484690022,0.15691497013912345,0.2919850298608767,0.005411086596199584,0.7495159484690022,0.00041259765624999955,0.3899301586844759,0.39260873299190024,0.5164847475592007,2,8,6,True,quantum_frames_v1.0
30,新聞標題,"「大S猝逝揭露台日醫療差異，分級制度惹議」""Barbie Hsu's Death Highlights Japan-Taiwan Medical System Gap""",33,0.0,1.0,0.0,0.33,0.33,0.34,0.0,0.0,0.0,0.0,normal,0,0.9182238168403145,0.29627400000000004,0.15262600000000004,0.009742239438000002,0.9182238168403146,0.00034453124999999995,0.3673928861111258,0.1885158830870629,0.5999604677951573,2,7,6,True,quantum_frames_v1.0
31,新聞標題,486先生P圖韓女醜聞發酵　恐涉妨害隱私Influencer 486 Scandal: Alleged Deepfake Sparks Outrage,25,0.0,1.0,0.0,0.33,0.33,0.34,0.0,0.0,0.0,0.0,crisis_response,0,0.9182238168403144,0.29627400000000004,0.15262600000000004,0.009742239438,0.9182238168403144,0.00027465820312499995,0.3673719241970633,0.1885158830870629,0.5999395058810947,2,7,6,True,quantum_frames_v1.0
32,新聞標題,DeepSeek AI涉侵權？美中AI競爭升溫DeepSeek AI Controversy: US-China AI Race Heats Up,27,0.0,1.0,0.0,0.33,0.33,0.34,0.0,0.0,0.0,0.0,normal,0,0.9182238168403145,0.29627400000000004,0.15262600000000004,0.009742239437999999,0.9182238168403144,0.0002602050781250004,0.3673675882595633,0.1885158830870629,0.5999351699435946,2,7,6,True,quantum_frames_v1.0
33,新聞標題,"竹科除夕夜突降壓 工程師圍爐途中急返廠Hsinchu Power Dip on Lunar New Year's Eve, Engineers Rushed Back",35,0.0,1.0,0.0,0.33,0.33,0.34,0.0,0.0,0.0,0.0,normal,0,0.9182238168403146,0.2962739999999999,0.15262600000000007,0.009742239437999995,0.9182238168403144,0.00033637695312499965,0.3673904398220634,0.18851588308706294,0.5999580215060947,2,7,6,True,quantum_frames_v1.0
34,新聞標題,義消捕蜂殉職撫卹爭議 市府籲保障Volunteer Firefighter Death Sparks Policy Debate,20,0.0,0.2425356250363329,0.9701425001453319,0.33,0.33,0.34,0.0,0.8,0.0,0.0,normal,0,0.7495159484690022,0.15691497013912345,0.29198502986087665,0.005411086596199584,0.7495159484690022,0.00040000000000000067,0.3899263793876009,0.39260873299190024,0.5164809682623258,2,8,6,True,quantum_frames_v1.0
35,新聞標題,"台積電面臨關稅挑戰，產業前景受考驗TSMC Faces Tariff Challenges, Industry at Stake",23,0.0,0.4740998230350174,0.8804710999221753,0.33,0.33,0.34,0.0,0.65,0.0,0.0,normal,0,0.8561480388676246,0.16979608743837948,0.2791039125616208,0.003266126923594696,0.8561480388676248,0.00040000000000000045,0.4325792155470498,0.36786267123532224,0.5723732369214882,2,8,6,True,quantum_frames_v1.0
36,新聞標題,"DeepSeek超越ChatGPT 登美國App Store榜首DeepSeek Tops US App Store, Beats ChatGPT",23,0.0,1.0,0.0,0.33,0.33,0.34,0.0,0.0,0.0,0.0,normal,0,0.9182238168403145,0.29627400000000004,0.15262600000000004,0.009742239437999999,0.9182238168403144,0.0002602050781250004,0.3673675882595633,0.1885158830870629,0.5999351699435946,2,7,6,True,quantum_frames_v1.0
37,新聞標題,宏達電售XR人力予Google，2.5億美元震撼業界HTC Sells XR Team to Google in $250M Deal,30,0.0,1.0,0.0,0.33,0.33,0.34,0.0,0.0,0.0,0.0,normal,0,0.9182238168403145,0.29627400000000004,0.15262600000000007,0.009742239438,0.9182238168403144,0.00021918945312500004,0.3673552835720633,0.1885158830870629,0.5999228652560947,2,7,6,True,quantum_frames_v1.0
38,新聞標題,林秉樞命危 家屬控北所延誤醫療真相待查Lin Binshu Critically Ill; Family Questions Medical Negligence,25,0.0,1.0,0.0,0.33,0.33,0.34,0.0,0.0,0.0,0.0,normal,0,0.9182238168403145,0.2962739999999999,0.15262600000000004,0.009742239437999999,0.9182238168403146,0.0003203613281250004,0.3673856351345633,0.1885158830870629,0.5999532168185948,2,7,6,True,quantum_frames_v1.0
39,新聞標題,"警工推批賴清德詐欺言論失當 要求公開道歉Police Union Slams President, Demands Public Apology",23,0.0,1.0,0.0,0.33,0.33,0.34,0.0,0.0,0.0,0.05,public_pressure,0,0.9182238168403145,0.29627400000000004,0.15262600000000012,0.009742239437999999,0.9182238168403143,0.00025312500000000026,0.3673654642361258,0.1885158830870629,0.5999330459201572,2,7,6,True,quantum_frames_v1.0
40,新聞標題,楠西地震災損便當不夠發 慈濟火速應急Nansi Earthquake Aid Shortfall: Tzu Chi Responds Quickly,26,0.0,1.0,0.0,0.33,0.33,0.34,0.0,0.0,0.0,0.0,normal,0,0.9182238168403144,0.29627400000000015,0.15262600000000007,0.009742239438000002,0.9182238168403144,0.0002673828124999997,0.3673697415798758,0.1885158830870629,0.5999373232639071,2,7,6,True,quantum_frames_v1.0
41,新聞標題,川普狂簽行政命令 引兩派爭論不休Trump’s Orders Ignite Intense Public Debate,20,0.0,1.0,0.0,0.33,0.33,0.34,0.0,0.0,0.0,0.0,normal,0,0.9182238168403144,0.29627400000000004,0.15262600000000007,0.009742239438,0.9182238168403144,0.00016997070312500015,0.3673405179470633,0.1885158830870629,0.5999080996310947,2,7,6,True,quantum_frames_v1.0
42,新聞標題,Hyperliquid 主網推出 HIP-1 現貨代幣部署功能Hyperliquid Launches HIP-1 Token Deployment on Mainnet,27,0.0,1.0,0.0,0.33,0.33,0.34,0.0,0.0,0.0,0.0,normal,0,0.9182238168403144,0.29627400000000004,0.15262600000000012,0.009742239438,0.9182238168403144,0.0003527832031250001,0.3673953616970633,0.1885158830870629,0.5999629433810947,2,7,6,True,quantum_frames_v1.0
43,新聞標題,影視補助爭議：民視被爆要求免費授權Media Controversy: Minshi Allegedly Demands Free Rights,24,0.0,0.2425356250363329,0.9701425001453319,0.33,0.33,0.34,0.0,0.8,0.0,0.05,public_pressure,0,0.7495159484690023,0.15691497013912342,0.29198502986087665,0.005411086596199582,0.7495159484690019,0.0005062500000000005,0.3899582543876009,0.39260873299190024,0.5165128432623257,2,8,6,True,quantum_frames_v1.0
44,新聞標題,"劉姓保母姊妹虐童致死 檢方重訴求刑Nanny Sisters Charged for Child Abuse, Fatalities",23,0.0,1.0,0.0,0.33,0.33,0.34,0.0,0.0,0.0,0.0,normal,0,0.9182238168403145,0.2962739999999999,0.15262600000000007,0.009742239437999995,0.9182238168403144,0.00021269531249999986,0.3673533353298758,0.1885158830870629,0.5999209170139073,2,7,6,True,quantum_frames_v1.0
45,新聞標題,藍白刪預算惹爭議 財政部陷假訊息風波Budget Cuts Spark Controversy; Ministry Faces Fake News Claims,27,0.0,0.2425356250363329,0.9701425001453319,0.33,0.33,0.34,0.0,0.8,0.0,0.0,normal,0,0.7495159484690023,0.15691497013912342,0.2919850298608766,0.005411086596199582,0.7495159484690022,0.000625,0.3899938793876009,0.39260873299190024,0.5165484682623258,2,8,6,True,quantum_frames_v1.0
46,新聞標題,TikTok禁令倒數 美中科技角力再升級TikTok Ban Looms as US-China Tech Clash Deepens,26,0.0,1.0,0.0,0.33,0.33,0.34,0.0,0.0,0.0,0.0,normal,0,0.9182238168403145,0.29627400000000004,0.15262600000000007,0.009742239438,0.9182238168403144,0.00021918945312500004,0.3673552835720633,0.1885158830870629,0.5999228652560947,2,7,6,True,quantum_frames_v1.0
47,新聞標題,"台北市漫畫工會反對預算刪減 呼籲政府重視台漫未來Taipei Comics Guild Opposes Budget Cuts, Urges Support",28,0.0,0.1737853339090477,0.9847835588179368,0.33,0.33,0.34,0.0,0.85,0.0,0.1,proactive_planning,0,0.7069255506324952,0.15481181134292107,0.294088188657079,0.006435152278975381,0.7069255506324954,0.0005941406249999991,0.37294846244049806,0.3996026862659867,0.49482337977233193,2,8,6,True,quantum_frames_v1.0
48,新聞標題,"賴政府執行黃麟凱死刑 社會熱議存廢Lai's Government Executes Huang Lin-Kai, Sparking Debate",26,0.0,1.0,0.0,0.33,0.33,0.34,0.0,0.0,0.0,0.05,normal,0,0.9182238168403145,0.29627400000000004,0.15262600000000004,0.009742239437999999,0.9182238168403144,0.0002602050781250004,0.3673675882595633,0.1885158830870629,0.5999351699435946,2,7,6,True,quantum_frames_v1.0
49,新聞標題,"鍾佳濱持油壓剪破拒馬，稱救人遭質疑Legislator Uses Hydraulic Cutter, Claims Rescue",21,0.0,1.0,0.0,0.33,0.33,0.34,0.0,0.0,0.0,0.0,normal,0,0.9182238168403145,0.29627400000000004,0.15262600000000007,0.009742239437999999,0.9182238168403144,0.00020000000000000033,0.3673495267361258,0.1885158830870629,0.5999171084201572,2,7,6,True,quantum_frames_v1.0
50,新聞標題,"警官涉虛擬貨幣洗錢案 檢調搜索19處Police Officers in Crypto Laundering, 19 Sites Raided",25,0.0,1.0,0.0,0.33,0.33,0.34,0.0,0.0,0.0,0.0,normal,0,0.9182238168403147,0.2962739999999999,0.15262599999999998,0.009742239437999994,0.9182238168403144,0.00024614257812499994,0.36736336950956344,0.18851588308706296,0.5999309511935947,2,7,6,True,quantum_frames_v1.0
51,新聞標題,數發部業務費僅剩一元 政府預算引爭議Digital Ministry's Budget Cut to NT$1 Sparks Debate,27,0.0,1.0,0.0,0.33,0.33,0.34,0.0,0.0,0.0,0.0,normal,0,0.9182238168403143,0.29627400000000015,0.15262600000000012,0.009742239438000004,0.9182238168403144,0.00023247070312499966,0.36735926794706325,0.18851588308706288,0.5999268496310947,2,7,6,True,quantum_frames_v1.0
52,新聞標題,麥當勞取消美樂蒂聯名 引發社會熱議McDonald’s Cancels My Melody Collaboration Amid Backlash#sora,24,0.0,1.0,0.0,0.33,0.33,0.34,0.0,0.0,0.0,0.05,normal,0,0.9182238168403145,0.2962739999999999,0.15262600000000007,0.009742239437999997,0.9182238168403144,0.00029707031249999954,0.3673786478298758,0.1885158830870629,0.5999462295139072,2,7,6,True,quantum_frames_v1.0
53,新聞標題,88會館負責人郭哲敏2億元交保 檢方提抗告88 Club Chief Released on $2B Bail; Prosecutors Appeal,29,0.0,1.0,0.0,0.33,0.33,0.34,0.0,0.0,0.0,0.05,normal,0,0.9182238168403144,0.29627400000000004,0.15262600000000004,0.009742239438,0.9182238168403144,0.00027465820312499995,0.3673719241970633,0.1885158830870629,0.5999395058810947,2,7,6,True,quantum_frames_v1.0
54,新聞標題,衛福部推LGBT+醫療新指引 未成年手術掀爭議New LGBT+ Medical Guidelines Spark Debate in Taiwan,27,0.0,1.0,0.0,0.33,0.33,0.34,0.0,0.0,0.0,0.0,normal,0,0.9182238168403144,0.29627400000000015,0.15262600000000007,0.009742239438000002,0.9182238168403144,0.0002673828124999997,0.3673697415798758,0.1885158830870629,0.5999373232639071,2,7,6,True,quantum_frames_v1.0
55,新聞標題,教育部澄清：林郁婷性別爭議非事實MOE Denies Gender Controversy for Lin Yu-Ting,22,0.0,0.2425356250363329,0.9701425001453319,0.33,0.33,0.34,0.0,0.8,0.0,0.0,normal,0,0.7495159484690024,0.1569149701391234,0.2919850298608766,0.00541108659619958,0.7495159484690022,0.0003633789062499996,0.389915393059476,0.39260873299190024,0.5164699819342008,2,8,6,True,quantum_frames_v1.0
56,新聞標題,警察退休金修法爭議：7.4萬上限惹爭議Police Pension Reform Sparks Debate: $74K Cap,25,0.0,0.2425356250363329,0.9701425001453319,0.33,0.33,0.34,0.0,0.8,0.0,0.0,normal,0,0.7495159484690022,0.15691497013912345,0.29198502986087665,0.005411086596199584,0.7495159484690022,0.00040000000000000067,0.3899263793876009,0.39260873299190024,0.5164809682623258,2,8,6,True,quantum_frames_v1.0
57,新聞標題,台英麥當勞性侵醜聞：企業文化遭質疑McDonald’s Scandals in Taiwan and UK: Culture Questioned,25,0.0,1.0,0.0,0.33,0.33,0.34,0.0,0.0,0.0,0.0,crisis_response,0,0.9182238168403145,0.29627400000000004,0.15262600000000004,0.009742239437999999,0.9182238168403144,0.0002602050781250004,0.3673675882595633,0.1885158830870629,0.5999351699435946,2,7,6,True,quantum_frames_v1.0
58,新聞標題,"林秉文潛逃案延燒 徐巧芯堅定回應Fugitive Lin Scandal Escalates, Legislator Responds",20,0.0,1.0,0.0,0.33,0.33,0.34,0.0,0.0,0.0,0.0,normal,0,0.9182238168403145,0.29627400000000004,0.15262600000000007,0.009742239438,0.9182238168403144,0.00021918945312500004,0.3673552835720633,0.1885158830870629,0.5999228652560947,2,7,6,True,quantum_frames_v1.0
59,新聞標題,憲法訴訟法爭議，行政立法再掀波瀾Constitutional Dispute Deepens Legislative Rift,17,0.0,0.2425356250363329,0.9701425001453319,0.33,0.33,0.34,0.0,0.8,0.0,0.0,normal,0,0.749515948469002,0.15691497013912345,0.2919850298608767,0.005411086596199584,0.7495159484690024,0.0003875976562500002,0.38992265868447584,0.39260873299190024,0.5164772475592009,2,8,6,True,quantum_frames_v1.0
60,新聞標題,水費31年首漲 民眾壓力山大First Water Rate Hike in 31 Years Hits Hard,25,0.0,1.0,0.0,0.33,0.33,0.34,0.0,0.0,0.0,0.0,public_pressure,0,0.9182238168403145,0.29627400000000004,0.15262600000000004,0.009742239438,0.9182238168403144,0.0001586425781249999,0.3673371195095633,0.1885158830870629,0.5999047011935947,2,7,6,True,quantum_frames_v1.0
61,新聞標題,檢察官高檔餐敘惹議：與權貴共餐引發調查Prosecutors’ Luxury Dinner Sparks Ethics Investigation,22,0.0,1.0,0.0,0.33,0.33,0.34,0.0,0.0,0.0,0.0,normal,0,0.9182238168403145,0.29627400000000004,0.15262600000000004,0.009742239437999999,0.9182238168403144,0.0002602050781250004,0.3673675882595633,0.1885158830870629,0.5999351699435946,2,7,6,True,quantum_frames_v1.0
62,新聞標題,"慈濟壁畫爭議升溫，藝術家權益受關注""Art Rights Controversy over Tzu Chi Mural""",23,0.0,1.0,0.0,0.33,0.33,0.34,0.0,0.0,0.0,0.0,normal,0,0.9182238168403144,0.29627400000000004,0.15262600000000004,0.009742239438,0.9182238168403144,0.0001757812500000003,0.3673422611111258,0.1885158830870629,0.5999098427951571,2,7,6,True,quantum_frames_v1.0
63,新聞標題,"林秉文發文否認逃亡，批政治抹黑Lin Bingwen Denies Fleeing, Slams Political Smears",22,0.0,1.0,0.0,0.33,0.33,0.34,0.0,0.0,0.0,0.0,normal,0,0.9182238168403144,0.29627400000000004,0.15262600000000007,0.009742239438,0.9182238168403144,0.00020629882812499972,0.3673514163845633,0.1885158830870629,0.5999189980685947,2,7,6,True,quantum_frames_v1.0
